1,,1
2,,1
3,,1
4,,2
5,,2
6,,2
7,,3
8,,3
9,,3
10,,3
11,,3
12,,3
13,,4
14,,4
15,,4
16,,4
17,,4
18,,4
19,,5
20,,5
21,,5
22,,5
23,,5
24,,5
25,,6
26,,6
27,,6
28,,6
29,,6
30,,6
31,,7
32,,7
33,,7
34,,8
35,,8
36,,8
37,,9
38,,9
39,,9
40,,9
41,,9
42,,9
43,,10
44,,10
45,,10
46,,10
47,,10
48,,10
49,,11
50,,11
51,,11
1001,,1001
1002,,1001
1003,,1001
1004,,1002
1005,,1002
1006,,1002
1007,,1003
1008,,1003
1009,,1003
1010,,1003
1011,,1003
1012,,1003
1013,,1004
1014,,1004
1015,,1004
1016,,1004
1017,,1004
1018,,1004
1019,,1005
1020,,1005
1021,,1005
1022,,1005
1023,,1005
1024,,1005
1025,,1006
1026,,1006
1027,,1006
1028,,1006
1029,,1006
1030,,1006
1031,,1007
1032,,1007
1033,,1007
1034,,1007
1035,,1007
1036,,1007
1037,,1008
1038,,1008
1039,,1008
