1,,1,,
2,,1,,
3,,1,,
4,,2,,
5,,2,,
6,,2,,
7,,3,10,
8,,3,,
9,,3,11,
10,,3,7,
11,,3,9,
12,,3,,
13,,4,16,
14,,4,,
15,,4,17,
16,,4,13,
17,,4,15,
18,,4,,
19,,5,22,
20,,5,,
21,,5,23,
22,,5,19,
23,,5,21,
24,,5,,
25,,6,28,
26,,6,,
27,,6,29,
28,,6,25,
29,,6,27,
30,,6,,
31,,7,,
32,,7,,
33,,7,,
34,,8,,
35,,8,,
36,,8,,
37,,9,,
38,,9,40,
39,,9,41,
40,,9,38,
41,,9,39,
42,,9,,
43,,10,47,
44,,10,,
45,,10,48,
46,,10,,
47,,10,43,
48,,10,45,
49,,11,,
50,,11,,
51,,11,,
1001,,1001,,
1002,,1001,,
1003,,1001,,
1004,,1002,,
1005,,1002,,
1006,,1002,,
1007,,1003,,
1008,,1003,1009,
1009,,1003,1008,
1010,,1003,1011,
1011,,1003,1010,
1012,,1003,,
1013,,1004,,
1014,,1004,1015,
1015,,1004,1014,
1016,,1004,1017,
1017,,1004,1016,
1018,,1004,,
1019,,1005,,
1020,,1005,1021,
1021,,1005,1020,
1022,,1005,1023,
1023,,1005,1022,
1024,,1005,,
1025,,1006,,
1026,,1006,1027,
1027,,1006,1026,
1028,,1006,1029,
1029,,1006,1028,
1030,,1006,,
1031,,1007,,
1032,,1007,1033,
1033,,1007,1032,
1034,,1007,1035,
1035,,1007,1034,
1036,,1007,,
1037,,1008,,
1038,,1008,,
1039,,1008,,
